Resource	Repo	EADID
848	10	us-ppiu-ais201002
991	10	us-ppiu-ais201004
864	10	us-ppiu-ais201005
793	10	us-ppiu-ais201008
798	10	us-ppiu-ais201009
801	10	us-ppiu-ais201011
955	10	us-ppiu-ais201016
852	10	us-ppiu-ais201103
918	10	us-ppiu-ais201105
978	10	us-ppiu-ais201106
1085	10	us-ppiu-ais201107
914	10	us-ppiu-ais201109
954	10	us-ppiu-ais201110
984	10	us-ppiu-ais201201
958	10	us-ppiu-ais201204
992	10	us-ppiu-ais201207
979	10	us-ppiu-ais201301
1052	10	us-ppiu-ais201302
1026	10	us-ppiu-ais201305
1024	10	us-ppiu-ais201316
1046	10	us-ppiu-ais201401
1047	10	us-ppiu-ais201402
1044	10	us-ppiu-ais201404
1088	10	us-ppiu-ais201501
1180	10	us-ppiu-ais201503
1341	10	us-ppiu-ais201509
1079	10	us-ppiu-ais201509freeze
1285	10	us-ppiu-ais201511
1127	10	us-ppiu-ais201602
1133	10	us-ppiu-ais201605
1113	10	us-ppiu-ais201701
1121	10	us-ppiu-ais201702
1119	10	us-ppiu-ais201706
1125	10	us-ppiu-ais201710
1204	10	us-ppiu-ais201804
1239	10	us-ppiu-ais20180622
1265	10	us-ppiu-ais201810
1299	10	us-ppiu-ais201901
1302	10	us-ppiu-ais201910
962	10	us-ppiu-aisinfofiles
893	10	us-ppiu-aismaps
1100	10	us-ppiu-aisphotos
960	10	us-ppiu-aisrespapers
1017	10	us-ppiu-asp197301
797	10	us-ppiu-asp197401
639	10	us-ppiu-asp198301
640	10	us-ppiu-asp199001
635	10	us-ppiu-asp199101
638	10	us-ppiu-asp199201
1344	10	us-ppiu-asp199202
995	10	us-ppiu-asp199701
636	10	us-ppiu-asp199901
904	10	us-ppiu-asp200001
774	10	us-ppiu-asp200301
637	10	us-ppiu-asp200302
769	10	us-ppiu-asp200501
837	10	us-ppiu-asp200802
836	10	us-ppiu-asp200902
1111	10	us-ppiu-asp201601
1274	10	us-ppiu-asp201604
1077	10	us-ppiu-cam.foer.2015
1162	10	us-ppiu-cam.photos.2017
802	10	us-ppiu-camedi198201
866	10	us-ppiu-camfhc201101
1082	10	us-ppiu-camfhccc2016
1083	10	us-ppiu-camjklcorr2016
1042	10	us-ppiu-camjnc2014
808	10	us-ppiu-camnev198701
779	10	us-ppiu-campac199901
1073	10	us-ppiu-camschm2015
725	10	us-ppiu-casey2001
997	10	us-ppiu-ctc196401
927	10	us-ppiu-ctc196601
1000	10	us-ppiu-ctc196602
1008	10	us-ppiu-ctc196603
1031	10	us-ppiu-ctc196604
642	10	us-ppiu-ctc197001
641	10	us-ppiu-ctc197202
841	10	us-ppiu-ctc197301
851	10	us-ppiu-ctc197401
708	10	us-ppiu-ctc197701
853	10	us-ppiu-ctc197702
811	10	us-ppiu-ctc197801
850	10	us-ppiu-ctc197901
966	10	us-ppiu-ctc197902
648	10	us-ppiu-ctc198101
703	10	us-ppiu-ctc198301
645	10	us-ppiu-ctc198401
856	10	us-ppiu-ctc198601
1154	10	us-ppiu-ctc198701
652	10	us-ppiu-ctc198902
781	10	us-ppiu-ctc199001
646	10	us-ppiu-ctc199101
654	10	us-ppiu-ctc199202
651	10	us-ppiu-ctc199301
658	10	us-ppiu-ctc199401
657	10	us-ppiu-ctc200001
715	10	us-ppiu-ctc200002
697	10	us-ppiu-ctc200201
800	10	us-ppiu-ctc200302
705	10	us-ppiu-ctc200901
983	10	us-ppiu-ctc200902
890	10	us-ppiu-ctc201001
